season,player_id,player_name,position,round,slot,franchise_id
2014,11746,"West, Terrance",RB,1,10,0007
2014,11653,"Sankey, Bishop",RB,1,3,0001
2014,11758,"Latimer, Cody",WR,1,11,0008
2014,11652,"Carey, Ka'Deem",RB,2,10,0005
2014,11650,"Mason, Tre",RB,2,5,0006
2014,11641,"Manziel, Johnny",QB,2,6,0010
2014,11696,"Amaro, Jace",TE,2,7,0009
2014,11706,"Clowney, Jadeveon",LB,2,9,0012
2014,11809,"Taliaferro, Lorenzo",RB,3,10,0010
2014,11651,"Seastrunk, Lache",,3,3,0009
2014,11658,"Williams, Andre",RB,3,6,0010
2014,11656,"Sims, Charles",RB,3,7,0009
2014,11721,"Mack, Khalil",LB,3,8,0006
2014,11655,"Grice, Marion",RB,3,9,0008
2014,11728,"Mosley, C.J.",LB,3,12,0007
2014,11663,"Johnson, Storm",RB,4,1,0009
2014,11722,"Shazier, Ryan",LB,4,2,0007
2014,11704,"Lyerla, Colt",,4,3,0007
2014,11798,"Norwood, Kevin",WR,4,4,0008
2014,11691,"Gallon, Jeremy",,4,5,0005
2014,11757,"Donald, Aaron",DT+DE,4,8,0007
2014,11659,"Thomas, De'Anthony",RB,4,11,0009
2014,11741,"Pryor, Calvin",CB+S,4,12,0006
2014,11661,"Gaffney, Tyler",,5,1,0010
2014,11813,"Smith, Telvin",LB,5,10,0010
2014,11703,"Niklas, Troy",TE,5,2,0003
2014,11648,"Murray, Aaron",,5,4,0003
2014,11769,"Lawrence, Demarcus",DT+DE,5,5,0006
2014,11689,"Ellington, Bruce",WR,5,6,0011
2014,11784,"Archer, Dri",RB,5,7,0009
2014,11690,"Evans, Shaq",,5,8,0012
2014,11682,"Abbrederis, Jared",WR,5,11,0008
2014,11835,"Fales, David",,5,12,0008
2015,12180,"Green-Beckham, Dorial",WR,1,6,0003
2015,12158,"Cobb, David",RB,2,7,0004
2015,12178,"Coates, Sammie",WR,3,3,0012
2015,12162,"Jones, Matt",RB,3,4,0010
2015,12182,"Smith, Devin",WR,3,5,0012
2015,12185,"Hardy, Justin",WR,3,6,0001
2015,12195,"Bell, Kenny",WR,3,7,0007
2015,10811,"Robinson, Josh",CB+S,3,8,0006
2015,12156,"Langford, Jeremy",RB,3,9,0009
2015,12183,"Greene, Rashad",WR,3,11,0001
2015,12204,"Smelter, DeAndre",LB,4,1,0007
2015,12243,"Anthony, Stephone",LB,4,10,0004
2015,12260,"McBride, Tre",WR,4,2,0008
2015,12239,"Kendricks, Eric",LB,4,4,0001
2015,12210,"Walford, Clive",TE,4,6,0012
2015,12160,"Williams, Karlos",RB,4,7,0005
2015,12265,"Davis, Devante",WR,4,9,0011
2015,12392,"Williams, Trey",RB,4,11,0008
2015,12387,"Days, Synjyn",DE,5,1,0008
2015,12217,"Fowler, Dante",DT+DE,5,10,0007
2015,12230,"Beasley, Vic",DT+DE,5,2,0007
2015,12144,"Petty, Bryce",QB,5,5,0011
2015,12409,"Davis, Darius",WR,5,6,0008
2015,12350,"Sasser, Bud",WR,5,7,0010
2015,12146,"Grayson, Garrett",QB,5,9,0009
2015,12215,"Gregory, Randy",DT+DE,5,11,0012
2015,12388,"Crockett, John",RB,5,12,0008
2016,12721,"Aguayo, Roberto",PK,3,6,0012
2016,12846,"Lasco, Daniel",RB,4,8,0004
2016,12673,"Peake, Charone",WR,4,9,0001
2016,12654,"Lawler, Kenny",WR,4,11,0011
2016,12705,"Lee, Darron",LB,4,12,0001
2016,12686,"Bosa, Joey",DT+DE,5,1,0003
2016,12649,"Lewis, Roger",WR,5,2,0009
2016,12702,"Jack, Myles",LB,5,4,0010
2016,12874,"Valles, Hakeem",TE,5,5,0008
2016,12871,"Foster, D.J.",RB,5,9,0011
2016,12701,"Smith, Jaylon",LB,5,12,0006
2017,13198,"Garrett, Myles",DT+DE,2,11,0005
2017,13221,"Davis, Jarrad",LB,4,1,
2017,13141,"Hood, Elijah",RB,4,7,0009
2017,13215,"Foster, Reuben",LB,4,8,
2017,13230,"Adams, Jamal",CB+S,4,11,0005
2018,13696,"Smith, Roquan",LB,2,12,0006
2018,13697,"Edmunds, Tremaine",LB,3,1,0006
2018,13681,"Chubb, Bradley",LB,4,2,0002
2018,13699,"Evans, Rashaan",LB,4,7,0007
2018,13727,"Vander Esch, Leighton",LB,4,10,0011
2018,13714,"James, Derwin",CB+S,4,11,0012
2018,13733,"Leonard, Darius",LB,5,1,0007
2018,13688,"Davenport, Marcus",DT+DE,5,2,0007
2018,13716,"Edmunds, Terrell",CB+S,5,11,0008
2018,13706,"Baker, Jerome",LB,6,1,0009
2018,13743,"Warner, Fred",LB,6,2,0003
2018,13723,"Payne, Da'Ron",DT+DE,6,3,0002
2018,13826,"Adams, Matthew",LB,6,4,0004
2018,13713,"Fitzpatrick, Minkah",CB+S,6,5,0005
2018,13737,"Bates, Jessie",CB+S,6,6,0008
2018,13746,"Green, Rasheem",DT+DE,6,7,0010
2018,13707,"Ward, Denzel",CB+S,6,8,0006
2018,13695,"Bryan, Taven",DT+DE,6,9,0007
2018,13700,"Landry, Harold",LB,6,10,0011
2018,13691,"Hurst, Maurice",DT+DE,6,11,0001
2018,13739,"Dawson, Duke",CB+S,6,12,0012
2019,14147,"Bosa, Nick",DT+DE,3,1,0010
2019,14170,"Bush, Devin",LB,3,2,0012
2019,14148,"Sweat, Montez",LB,3,8,0012
2019,14168,"White, Devin",LB,3,9,0009
2019,14167,"Allen, Josh",DT+DE,4,5,0011
2019,14157,"Williams, Quinnen",DT+DE,4,11,0005
2019,14158,"Oliver, Ed",DT+DE,5,1,0010
2019,14171,"Burns, Brian",DT+DE,5,12,0001
2019,14178,"Baker, Deandre",CB+S,6,1,0005
2019,14184,"Abram, Johnathan",CB+S,6,2,0009
2019,14198,"Ya-Sin, Rock",CB+S,6,3,0003
2019,14207,"Thornhill, Juan",CB+S,6,4,0011
2019,14151,"Ferrell, Clelin",DT+DE,6,5,0012
2019,14176,"Winovich, Chase",DT+DE,6,6,0010
2019,14197,"Savage, Darnell",CB+S,6,7,0007
2019,14185,"Adderley, Nasir",CB+S,6,8,0008
2019,14177,"Williams, Greedy",CB+S,6,9,0004
2019,14149,"Gary, Rashan",LB,6,10,0002
2019,14218,"Okereke, Bobby",LB,6,11,0006
2019,14186,"Rapp, Taylor",CB+S,6,12,0001
2020,14877,"Young, Chase",DT+DE,2,3,0006
2020,14887,"Simmons, Isaiah",LB,2,9,0002
2020,14896,"Queen, Patrick",LB,3,7,0011
2020,14888,"Chaisson, K'Lavon",DT+DE,4,5,0012
2020,14889,"Murray, Kenneth",LB,4,7,0009
2020,14908,"McKinney, Xavier",CB+S,5,3,0002
2020,15037,"Lipscomb, Kalija",WR,5,6,0011
2020,14907,"Delpit, Grant",CB+S,5,10,0005
2020,14879,"Epenesa, A.J.",DT+DE,5,11,0002
2020,14921,"Dugger, Kyle",CB+S,5,12,0011
2020,14927,"Chinn, Jeremy",CB+S,6,1,0006
2020,14909,"Winfield, Antoine",CB+S,6,2,0001
2020,14926,"Gay, Willie",LB,6,3,0010
2020,14893,"Baun, Zack",LB,6,4,0002
2020,14950,"Wallace, K'Von",CB+S,6,5,0008
2020,14892,"Brooks, Jordyn",LB,6,6,0012
2020,14878,"Gross-Matos, Yetur",DT+DE,6,7,0003
2020,14925,"Uche, Josh",LB,6,8,0004
2020,14891,"Harrison, Malik",LB,6,9,0005
2020,14899,"Kinlaw, Javon",DT+DE,6,10,0007
2020,14928,"Wilson, Logan",LB,6,11,0009
2020,14911,"Davis, Ashtyn",CB+S,6,12,0011
2021,15373,"Davis, Jamin",LB,3,8,0003
2021,15350,"Parsons, Micah",LB,3,10,0006
2021,15349,"Phillips, Jaelan",DT+DE,3,11,0002
2021,15366,"Holland, Jevon",CB+S,3,12,0011
2021,15352,"Collins, Zaven",LB,4,1,0007
2021,15345,"Paye, Kwity",DT+DE,4,3,0002
2021,15351,"Owusu-Koramoah, Jeremiah",LB,4,4,0007
2021,15381,"Grant, Richie",CB+S,4,9,0005
2021,15365,"Moehrig, Trevon",CB+S,4,12,0001
2021,15355,"Bolton, Nick",LB,5,1,0003
2021,15404,"Jones, Ernest",LB,5,9,0002
2021,15396,"Deablo, Divine",CB+S,6,1,0006
2021,15346,"Rousseau, Gregory",DT+DE,6,2,0008
2021,15387,"Werner, Pete",LB,6,3,0004
2021,15356,"Browning, Baron",LB,6,4,0009
2021,15385,"Ojulari, Azeez",LB,6,5,0007
2021,15364,"Cisco, Andre",CB+S,6,6,0003
2021,15362,"Surtain II, Patrick",CB+S,6,7,0012
2021,15357,"Barmore, Christian",DT+DE,6,8,0001
2021,15379,"Tryon, Joe",LB,6,9,0011
2021,15378,"Oweh, Jayson",LB,6,10,0002
2021,15360,"Farley, Caleb",CB+S,6,11,0005
2021,15409,"Barnes, Derrick",LB,6,12,0010
2022,15805,"Hutchinson, Aidan",DT+DE,3,9,0011
2022,15806,"Thibodeaux, Kayvon",LB,4,1,0002
2022,15822,"Lloyd, Devin",LB,4,3,0011
2022,15808,"Karlaftis, George",DT+DE,4,8,0012
2022,15834,"Hamilton, Kyle",CB+S,4,9,0001
2022,15815,"Walker, Travon",DT+DE,4,11,0002
2022,15846,"Walker, Quay",LB,5,2,0006
2022,15809,"Johnson, Jermaine",DT+DE,5,3,0005
2022,15821,"Dean, Nakobe",LB,5,6,0002
2022,15837,"Cine, Lewis",CB+S,5,11,0001
2022,15832,"Stingley Jr., Derek",CB+S,6,1,0006
2022,15857,"Williams, Sam",DT+DE,6,2,0008
2022,15817,"Davis, Jordan",DT+DE,6,3,0005
2022,15851,"Ebiketie, Arnold",LB,6,4,0011
2022,15853,"Mafe, Boye",DT+DE,6,5,0002
2022,15823,"Harris, Christian",LB,6,7,0010
2022,15858,"Andersen, Troy",LB,6,8,0004
2022,15824,"Tindall, Channing",LB,6,9,0007
2022,15831,"Chenal, Leo",LB,6,10,0003
2022,15911,"Araiza, Matt",PN,6,11,0009
2022,15835,"Brisker, Jaquan",CB+S,6,12,0001
