season,franchise_id,team_name,era,player_id,player_name,position,nfl_team,weeks_started,playoff_weeks_started,total_pts_started,playoff_pts_started,ppg_started,avg_salary,min_contract_year,max_contract_year,contract_status_last
2017,0006,Good in Da Hood,1QB,11232,"Hopkins, DeAndre",WR,HOU,14,2,301.0,35.7,21.5,29000,2,2,STANDARD
2017,0006,Good in Da Hood,1QB,13138,"Hunt, Kareem",RB,KCC,14,2,265.3,59.9,18.95,9000,3,3,ROOKIE
2017,0006,Good in Da Hood,1QB,12652,"Thomas, Michael",WR,NOS,14,2,234.0,37.9,16.71,10000,2,2,ROOKIE
2017,0006,Good in Da Hood,1QB,11728,"Mosley, C.J.",LB,BAL,14,2,137.5,15.0,9.82,4000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,9966,"Jones, Reshad",S,MIA,14,2,132.5,21.0,9.46,1000,2,2,STANDARD
2017,0006,Good in Da Hood,1QB,9988,"Brown, Antonio",WR,PIT,4,1,125.9,4.6,31.47,80000,2,2,STANDARD
2017,0006,Good in Da Hood,1QB,11813,"Smith, Telvin",LB,JAC,12,1,122.0,2.5,10.17,4000,2,2,STANDARD
2017,0006,Good in Da Hood,1QB,9831,"Tate, Golden",WR,DET,10,2,120.7,11.5,12.07,27000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,7394,"Rivers, Philip",QB,LAC,5,2,104.4,24.9,20.88,6000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,7393,?,?,?,7,0,103.4,0.0,14.77,,,,
2017,0006,Good in Da Hood,1QB,13130,?,?,?,7,0,102.5,0.0,14.64,,,,
2017,0006,Good in Da Hood,1QB,9427,?,?,?,7,0,102.1,0.0,14.59,,,,
2017,0006,Good in Da Hood,1QB,10276,"Ingram, Mark",RB,NOS,5,2,100.4,47.4,20.08,33000,2,2,FRONT LOAD
2017,0006,Good in Da Hood,1QB,11345,?,?,?,9,0,87.7,0.0,9.74,,,,
2017,0006,Good in Da Hood,1QB,6789,?,?,?,9,0,86.8,0.0,9.64,,,,
2017,0006,Good in Da Hood,1QB,12233,"Alexander, Kwon",LB,TBB,10,2,83.0,22.5,8.3,1000,2,2,STANDARD
2017,0006,Good in Da Hood,1QB,10312,"Rudolph, Kyle",TE,MIN,8,2,78.8,11.5,9.85,25000,2,2,STANDARD
2017,0006,Good in Da Hood,1QB,10313,"Dalton, Andy",QB,CIN,4,0,69.3,0.0,17.32,16000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,9833,"Pierre-Paul, Jason",DE,NYG,10,2,68.5,12.0,6.85,3000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,9474,"Cook, Jared",TE,OAK,6,0,56.5,0.0,9.42,1000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,12140,?,?,?,4,0,38.2,0.0,9.55,,,,
2017,0006,Good in Da Hood,1QB,11772,?,?,?,5,0,34.5,0.0,6.9,,,,
2017,0006,Good in Da Hood,1QB,13303,"Elliott, Jake",PK,PHI,5,2,29.9,16.9,5.98,1000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,9330,"Woodyard, Wesley",LB,TEN,3,1,26.0,12.0,8.67,1000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,11180,?,?,?,3,0,21.2,0.0,7.07,,,,
2017,0006,Good in Da Hood,1QB,11695,"Ebron, Eric",TE,DET,1,1,19.7,19.7,19.7,2000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,12536,?,?,?,4,0,14.5,0.0,3.63,,,,
2017,0006,Good in Da Hood,1QB,12844,?,?,?,2,0,14.0,0.0,7.0,,,,
2017,0006,Good in Da Hood,1QB,8252,?,?,?,1,0,11.2,0.0,11.2,,,,
2017,0006,Good in Da Hood,1QB,12142,?,?,?,1,0,11.1,0.0,11.1,,,,
2017,0006,Good in Da Hood,1QB,9310,?,?,?,2,0,8.0,0.0,4.0,,,,
2017,0006,Good in Da Hood,1QB,9866,?,?,?,1,0,7.0,0.0,7.0,,,,
2017,0006,Good in Da Hood,1QB,12155,"Abdullah, Ameer",RB,DET,1,0,6.3,0.0,6.3,8000,1,1,ROOKIE
2017,0006,Good in Da Hood,1QB,11985,"Way, Tress",PN,WAS,1,1,5.0,5.0,5.0,1000,1,1,STANDARD
2017,0006,Good in Da Hood,1QB,12695,?,?,?,1,0,5.0,0.0,5.0,,,,
2017,0006,Good in Da Hood,1QB,8448,?,?,?,1,0,5.0,0.0,5.0,,,,
2017,0006,Good in Da Hood,1QB,13319,"Jones, Aaron",RB,GBP,2,0,4.6,0.0,2.3,2000,3,3,ROOKIE
2017,0006,Good in Da Hood,1QB,12626,"Henry, Derrick",RB,TEN,1,0,3.9,0.0,3.9,9000,2,2,ROOKIE
2017,0006,Good in Da Hood,1QB,12860,?,?,?,1,0,2.0,0.0,2.0,,,,
2017,0006,Good in Da Hood,1QB,12323,?,?,?,1,1,0.0,0.0,0.0,,,,
2017,0006,Good in Da Hood,1QB,8247,?,?,?,1,0,0.0,0.0,0.0,,,,
2018,0011,Cleon Ca$h,1QB,13156,"Smith-Schuster, JuJu",WR,PIT,14,3,301.2,69.5,21.51,5000,2,2,Rookie
2018,0011,Cleon Ca$h,1QB,12630,"Drake, Kenyan",RB,MIA,15,3,192.0,34.2,12.8,5000,1,1,Rookie
2018,0011,Cleon Ca$h,1QB,4925,"Brees, Drew",QB,NOS,8,3,190.2,38.9,23.77,13000,2,2,BL
2018,0011,Cleon Ca$h,1QB,9099,"Ryan, Matt",QB,ATL,6,0,155.4,0.0,25.9,12000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,10976,"Tucker, Justin",PK,BAL,15,3,147.6,26.2,9.84,3000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11313,"Mathieu, Tyrann",S,HOU,15,3,145.4,20.3,9.69,3000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,10723,"Sanu, Mohamed",WR,ATL,12,3,133.3,42.1,11.11,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11813,"Smith, Telvin",LB,JAC,14,2,132.5,24.5,9.46,4000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,9833,"Pierre-Paul, Jason",DE,TBB,14,3,132.0,29.5,9.43,5000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11740,"Clinton-Dix, Ha Ha",S,WAS,13,3,123.6,28.8,9.51,4000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,10753,"Jones, Chandler",DE,ARI,9,0,95.0,0.0,10.56,11000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,12985,"Littleton, Cory",LB,LAR,9,0,93.5,0.0,10.39,4000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,12701,"Smith, Jaylon",LB,DAL,10,3,91.0,38.0,9.1,2000,1,1,Rookie
2018,0011,Cleon Ca$h,1QB,11293,"Ogletree, Alec",LB,NYG,9,2,89.5,21.0,9.94,6000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,12628,"Collins, Alex",RB,BAL,8,0,89.5,0.0,11.19,2000,1,1,Rookie
2018,0011,Cleon Ca$h,1QB,10308,"Cobb, Randall",WR,GBP,8,2,83.8,21.9,10.47,15000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11383,"Martin, Sam",PN,DET,8,3,81.0,46.0,10.13,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,9118,"Nelson, Jordy",WR,OAK,9,3,76.2,42.3,8.47,70000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,10292,"Jordan, Cameron",DE,NOS,6,3,75.0,29.5,12.5,6000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,12159,"Allen, Javorius",RB,BAL,8,0,70.2,0.0,8.78,7000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,10312,"Rudolph, Kyle",TE,MIN,5,3,65.5,44.2,13.1,25000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,9662,"Edelman, Julian",WR,NEP,4,0,64.2,0.0,16.05,29000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,13136,"Clement, Corey",RB,PHI,8,1,61.1,0.5,7.64,22000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,13189,"Engram, Evan",TE,NYG,7,1,58.9,18.3,8.41,7000,2,2,Rookie
2018,0011,Cleon Ca$h,1QB,11257,"McDonald, Vance",TE,PIT,6,0,57.0,0.0,9.5,7000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,9308,"Amendola, Danny",WR,MIA,3,0,38.9,0.0,12.97,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,13144,"McGuire, Elijah",RB,NYJ,2,2,37.0,37.0,18.5,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,7578,"Lee, Andy",PN,ARI,4,0,37.0,0.0,9.25,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11840,"O'Donnell, Pat",PN,CHI,4,0,27.0,0.0,6.75,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11760,"Garoppolo, Jimmy",QB,SFO,1,0,15.6,0.0,15.6,7000,2,2,FL
2018,0011,Cleon Ca$h,1QB,11330,"Williams, Shawn",S,CIN,1,0,15.1,0.0,15.1,2000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,12665,"Allison, Geronimo",WR,GBP,1,0,14.6,0.0,14.6,5000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,7391,"Manning, Eli",QB,NYG,1,0,10.6,0.0,10.6,2000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,9686,"Succop, Ryan",PK,TEN,1,0,10.4,0.0,10.4,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11326,"McDonald, T.J.",S,MIA,1,0,9.4,0.0,9.4,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11676,"Matthews, Jordan",WR,PHI,1,0,7.6,0.0,7.6,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11742,"Joyner, Lamarcus",S,LAR,1,0,7.6,0.0,7.6,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,10280,"Kerrigan, Ryan",LB,WAS,1,0,7.0,0.0,7.0,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,11707,"Tuitt, Stephon",DE,PIT,1,0,7.0,0.0,7.0,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,12261,"Montgomery, Ty",RB,BAL,3,1,6.0,0.0,2.0,22000,2,2,Veteran
2018,0011,Cleon Ca$h,1QB,11723,"Van Noy, Kyle",LB,NEP,1,1,3.0,3.0,3.0,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,12075,"Barrett, Shaq",LB,DEN,1,0,2.0,0.0,2.0,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,12230,"Beasley, Vic",DE,ATL,1,0,1.0,0.0,1.0,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,10806,"Wolfe, Derek",DE,DEN,1,0,0.5,0.0,0.5,1000,1,1,Veteran
2018,0011,Cleon Ca$h,1QB,12717,"Joseph, Karl",S,OAK,2,0,0.0,0.0,0.0,1000,1,1,Veteran
2019,0007,Sex Manther,1QB,13116,"Mahomes, Patrick",QB,KCC,13,3,328.1,69.8,25.24,2000,3,3,Rookie/Veteran GF
2019,0007,Sex Manther,1QB,13164,"Kupp, Cooper",WR,LAR,14,2,260.3,32.0,18.59,2000,1,1,Rookie GF
2019,0007,Sex Manther,1QB,13404,"Ekeler, Austin",RB,LAC,14,3,251.7,58.9,17.98,21000,1,1,Veteran
2019,0007,Sex Manther,1QB,13604,"Barkley, Saquon",RB,NYG,12,3,223.2,86.3,18.6,15000,2,2,Rookie GF
2019,0007,Sex Manther,1QB,12652,"Thomas, Michael",WR,NOS,7,3,204.9,103.2,29.27,30000,2,2,Veteran GF
2019,0007,Sex Manther,1QB,12686,"Bosa, Joey",DE,LAC,15,3,155.5,41.0,10.37,7000,2,2,Veteran GF
2019,0007,Sex Manther,1QB,13733,"Leonard, Darius",LB,IND,12,3,150.5,41.0,12.54,2000,2,2,Rookie GF
2019,0007,Sex Manther,1QB,13782,"Dickson, Michael",PN,SEA,15,3,145.0,29.0,9.67,4000,2,2,Rookie GF
2019,0007,Sex Manther,1QB,11757,"Donald, Aaron",DT,LAR,15,3,143.5,25.0,9.57,50000,3,3,FL
2019,0007,Sex Manther,1QB,13146,"Conner, James",RB,PIT,9,1,128.0,3.2,14.22,5000,1,1,Rookie GF
2019,0007,Sex Manther,1QB,12250,"Collins, Landon",S,WAS,11,0,126.7,0.0,11.52,13000,1,1,Veteran GF
2019,0007,Sex Manther,1QB,12676,"Henry, Hunter",TE,LAC,8,1,98.4,12.1,12.3,17000,2,2,Veteran GF
2019,0007,Sex Manther,1QB,13157,"Samuel, Curtis",WR,CAR,7,0,94.8,0.0,13.54,5000,2,2,Rookie/Veteran GF
2019,0007,Sex Manther,1QB,10768,"David, Lavonte",LB,TBB,10,0,86.5,0.0,8.65,7000,1,1,Veteran 
2019,0007,Sex Manther,1QB,13715,"Harrison, Ronnie",S,JAC,11,2,85.4,16.6,7.76,3000,2,2,Veteran
2019,0007,Sex Manther,1QB,11244,"Kelce, Travis",TE,KCC,4,3,84.6,69.8,21.15,52000,1,1,Veteran GF
2019,0007,Sex Manther,1QB,8153,"Gould, Robbie",PK,SFO,7,3,69.4,34.1,9.91,1000,1,1,WW
