season,round,slot,player_id,gsis_id,player_name,position,tier_y1_3,production_hit,extension_worthy,extension_v1_flag_only,extension_seasons_observed,ppg_y1,ppg_y2,ppg_y3,avg_ppg_y1_3_ups,best2_of_3_ups,ppg_y4_ppr,ppg_y5_ppr,avg_ppg_y4_5_ppr,never_played_y4_5,threshold_ups,threshold_ppr,was_worthy_at_y3,was_worthy_best2,paid_off_y4_5,cliff_pct
2017,1,1,13130,00-0033280,"McCaffrey, Christian",RB,Smash,1,1,1,2019;2020;2021,14.79,25.42,30.25,23.49,27.84,30.13,18.21,24.17,0,15.0,16.1,1,1,1,2.9
2017,1,10,13155,00-0033460,"Ross, John",WR,Bust,0,0,0,,0,8.13,14.43,11.28,11.28,1.85,4.56,3.2,0,13.5,14.0,0,0,0,-71.6
2017,1,2,13153,00-0033871,"Davis, Corey",WR,Bust,0,0,0,,7.39,12.71,8.73,9.61,10.72,12.76,11.69,12.22,0,13.5,14.0,0,0,0,27.2
2017,1,3,13131,00-0033897,"Mixon, Joe",RB,Hit,1,1,1,2019;2020,10.01,17.7,12.91,13.54,15.3,16.6,17.65,17.13,0,15.0,16.1,0,1,1,26.5
2017,1,4,13154,00-0033536,"Williams, Mike",WR,Bust,0,1,1,2019;2020,4.22,12.44,12.06,9.57,12.25,10.98,15.41,13.2,0,13.5,14.0,0,0,0,37.8
2017,1,5,13129,00-0033856,"Fournette, Leonard",RB,Smash,1,1,1,2020,17.93,14.75,17.02,16.57,17.48,13.68,19.15,16.41,0,15.0,16.1,1,1,1,-0.9
2017,1,6,13128,00-0033893,"Cook, Dalvin",RB,Smash,1,1,1,2019;2020;2021,16.35,13.96,21.0,17.1,18.68,24.13,15.87,20.0,0,15.0,16.1,1,1,1,16.9
2017,1,7,13138,00-0033923,"Hunt, Kareem",RB,Smash,1,1,1,2020,19.24,21.22,13.0,17.82,20.23,13.78,13.75,13.76,0,15.0,16.1,1,1,0,-22.8
2017,1,8,13188,00-0033879,"Howard, O.J.",TE,Hit,1,0,0,,9.76,14.34,7.79,10.63,12.05,9.4,3.04,6.22,0,12.5,12.0,0,0,0,-41.5
2017,1,9,13189,00-0033881,"Engram, Evan",TE,Smash,1,1,1,2019;2020,13.07,10.88,14.87,12.94,13.97,8.81,6.83,7.82,0,12.5,12.0,1,1,0,-39.5
2017,1,11,13156,00-0033857,"Smith-Schuster, JuJu",WR,Smash,1,1,1,2020,13.93,21.15,11.18,15.42,17.54,15.81,7.07,11.44,0,13.5,14.0,1,1,0,-25.8
2017,1,12,13192,00-0033885,"Njoku, David",TE,Bust,0,1,1,2019;2020,6.21,10.05,8.35,8.2,9.2,4.92,7.17,6.04,0,12.5,12.0,0,0,0,-26.3
2017,2,1,13132,00-0033906,"Kamara, Alvin",RB,Smash,1,1,1,2019;2020;2021,19.13,23.78,16.92,19.94,21.45,24.17,18.05,21.11,0,15.0,16.1,1,1,1,5.9
2017,2,10,13157,00-0033282,"Samuel, Curtis",WR,Bust,0,1,1,2019,5.15,11.61,12.03,9.6,11.82,14.14,1.96,8.05,0,13.5,14.0,0,0,0,-16.1
2017,2,2,13237,00-0033948,"Williams, Joe",RB,Bust,0,0,0,,0,0,0,0,0,8.88,9.22,9.05,0,15.0,16.1,0,0,0,
